Zap Version,Filename,Protocol,Invert Open,Tx IP,Rx IP,Multicast,ToS,Samples,Sample Size,Payload Length,Payload Transmit Delay,Payloads Received,Payloads Dropped,Payloads Repeated,Payloads Outoforder,Date,Notes,Tag,Sub Tag, 0.0%, 1.0%, 2.0%, 3.0%, 4.0%, 5.0%, 6.0%, 7.0%, 8.0%, 9.0%,10.0%,11.0%,12.0%,13.0%,14.0%,15.0%,16.0%,17.0%,18.0%,19.0%,20.0%,21.0%,22.0%,23.0%,24.0%,25.0%,26.0%,27.0%,28.0%,29.0%,30.0%,31.0%,32.0%,33.0%,34.0%,35.0%,36.0%,37.0%,38.0%,39.0%,40.0%,41.0%,42.0%,43.0%,44.0%,45.0%,46.0%,47.0%,48.0%,49.0%,50.0%,51.0%,52.0%,53.0%,54.0%,55.0%,56.0%,57.0%,58.0%,59.0%,60.0%,61.0%,62.0%,63.0%,64.0%,65.0%,66.0%,67.0%,68.0%,69.0%,70.0%,71.0%,72.0%,73.0%,74.0%,75.0%,76.0%,77.0%,78.0%,79.0%,80.0%,81.0%,82.0%,83.0%,84.0%,85.0%,86.0%,87.0%,88.0%,89.0%,90.0%,91.0%,92.0%,93.0%,94.0%,95.0%,96.0%,97.0%,98.0%,99.0%,99.1%,99.2%,99.3%,99.4%,99.5%,99.6%,99.7%,99.8%,99.9%,100.0%,
1.83,results-c1.csv,udp,Off,172.27.3.42:172.27.3.42,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,567097,0,0,0,Wed Sep 26 13:05:32 2012,,airport-c1,,167.4,131.2,125.1,121.3,119.3,117.0,116.1,114.9,114.2,113.4,112.5,112.0,111.1,110.3,109.3,108.5,107.9,107.2,106.8,106.1,105.6,105.2,104.6,103.8,103.2,102.7,102.2,101.7,101.3,101.0,100.6,100.3,99.9,99.5,99.2,98.7,98.4,98.1,97.8,97.5,97.0,96.8,96.5,96.1,95.8,95.3,94.8,94.3,94.0,93.6,93.0,92.6,92.3,91.9,91.5,90.9,90.3,90.0,89.5,89.1,88.8,88.5,88.0,87.7,87.3,87.0,86.6,86.2,85.8,85.5,85.1,84.7,84.3,84.0,83.6,83.3,82.6,81.9,81.4,80.8,80.2,79.5,79.0,78.6,78.2,77.4,76.9,76.3,75.5,74.7,73.8,72.7,71.1,69.2,67.5,65.9,64.2,59.5,52.5,36.8,31.0,30.9,22.9,22.8,21.5,18.6,18.2,16.8, 5.3, 2.8,
1.83,results-c2.csv,udp,Off,172.27.3.78:172.27.3.78,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,529286,0,0,0,Wed Sep 26 13:05:34 2012,,airport-c2,,175.6,155.9,148.2,146.0,144.7,142.5,140.6,138.8,137.1,135.5,134.7,134.1,132.7,131.4,130.4,129.4,127.9,126.9,126.2,125.6,124.4,123.5,122.9,122.3,121.0,120.4,119.9,119.0,118.5,118.1,117.4,116.4,115.8,115.2,114.3,113.8,112.9,112.6,112.1,111.5,110.9,110.4,109.9,109.0,108.6,108.2,107.7,107.2,106.8,106.3,105.4,104.8,104.1,103.9,103.5,103.1,102.4,102.0,101.3,100.6,100.1,99.7,98.7,97.8,97.0,96.4,95.9,95.2,94.6,93.7,93.1,92.6,92.0,91.4,90.5,89.7,89.0,88.7,87.6,87.0,85.7,85.1,84.3,83.2,82.8,81.6,80.6,79.6,78.7,77.7,76.6,75.0,72.9,71.9,70.5,67.7,64.5,60.5,57.4,50.3,48.6,48.5,45.4,44.1,41.1,39.6,39.4,39.3,34.8,25.6,
1.83,results-c3.csv,udp,Off,172.27.2.182:172.27.2.182,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,159958,0,0,0,Wed Sep 26 13:05:32 2012,,airport-c3,,20.9,20.6,20.4,20.3,20.2,20.1,20.0,20.0,19.9,19.9,19.8,19.8,19.8,19.8,19.7,19.7,19.7,19.7,19.6,19.6,19.6,19.6,19.6,19.5,19.5,19.5,19.5,19.5,19.5,19.4,19.4,19.4,19.4,19.4,19.3,19.3,19.3,19.3,19.3,19.2,19.2,19.2,19.2,19.2,19.1,19.1,19.1,19.0,19.0,19.0,18.9,18.9,18.8,18.8,18.8,18.7,18.7,18.7,18.6,18.6,18.6,18.5,18.5,18.5,18.4,18.4,18.3,18.3,18.3,18.2,18.2,18.1,18.0,18.0,17.8,17.8,17.7,17.6,17.5,17.5,17.4,17.3,17.1,17.0,16.8,16.7,16.5,16.3,16.2,15.9,15.8,15.5,15.2,14.9,14.5,13.8,13.2,12.4,11.5, 9.9, 9.6, 9.4, 8.9, 8.2, 7.8, 7.3, 5.6, 1.1, 0.9, 0.8,
1.83,results-c1.csv,udp,Off,172.27.3.42:172.27.3.42,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,305384,5,0,0,Wed Sep 26 13:17:08 2012,,meraki-c1,,129.9,115.3,108.9,107.5,103.5,101.7,98.7,96.9,95.6,94.5,93.5,92.4,91.0,90.4,89.4,88.7,88.0,87.3,86.6,85.8,84.7,83.6,83.2,82.4,81.7,81.2,80.8,79.8,79.3,78.7,78.2,77.5,77.0,76.4,75.7,75.2,75.0,74.5,74.1,73.7,73.1,72.3,71.7,71.3,70.7,70.4,70.0,69.5,68.7,68.2,67.8,67.1,66.6,66.2,65.7,65.3,65.0,64.7,64.4,63.9,63.5,62.9,62.4,61.8,61.3,61.0,60.6,60.0,59.2,58.8,58.2,57.7,57.4,56.9,56.1,55.5,55.0,54.6,54.0,53.6,52.7,52.3,51.6,50.5,49.7,49.1,48.5,48.0,47.1,45.6,44.9,44.1,43.7,42.4,41.0,39.5,37.8,35.8,31.4,28.2,27.9,27.7,27.3,26.9,26.4,25.3,24.4,22.0,12.0,10.7,
1.83,results-c2.csv,udp,Off,172.27.3.78:172.27.3.78,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,295397,1,0,0,Wed Sep 26 13:17:11 2012,,meraki-c2,,281.9,207.0,164.7,134.0,130.3,124.6,121.6,117.3,114.6,113.3,111.4,109.3,108.3,107.4,106.5,104.6,103.4,102.6,101.5,100.4,99.5,98.0,97.3,96.3,95.8,94.6,93.8,93.0,92.5,91.5,91.1,90.4,89.9,89.3,88.3,87.8,87.1,86.7,86.0,85.4,84.9,84.5,84.1,83.6,83.1,82.4,81.6,80.9,80.4,79.8,78.9,78.5,78.3,77.8,77.2,76.8,76.4,76.0,75.1,74.7,74.1,73.4,72.8,71.9,71.1,70.7,69.9,69.4,68.9,68.6,68.2,67.4,67.1,66.6,66.0,65.3,64.9,63.9,63.5,63.1,61.9,61.5,60.8,59.7,58.7,57.7,56.5,55.9,55.3,54.4,53.4,51.9,50.5,49.7,48.2,46.5,43.3,40.7,38.1,32.5,31.0,30.8,27.2,25.3,25.3,24.7,23.2,17.5,11.0,11.0,
1.83,results-c3.csv,udp,Off,172.27.2.182:172.27.2.182,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,312676,121,0,0,Wed Sep 26 13:17:13 2012,,meraki-c3,,104.8,95.2,92.3,88.5,86.5,83.4,80.2,77.4,75.3,74.0,72.4,71.4,69.9,68.4,67.5,67.0,66.4,65.5,64.6,64.2,63.3,62.6,61.9,61.2,60.7,60.2,59.7,59.2,58.7,58.2,57.8,57.6,57.3,56.7,56.2,55.8,55.5,55.2,54.8,54.1,53.8,53.4,53.0,52.6,52.3,51.9,51.7,51.5,51.2,50.9,50.5,50.1,49.8,49.3,49.0,48.8,48.4,48.2,48.0,47.6,47.3,46.9,46.5,46.1,45.6,45.2,44.9,44.6,44.1,43.7,43.5,43.1,42.7,42.4,41.9,41.4,41.2,40.9,40.5,39.9,39.4,38.9,38.6,38.3,37.7,37.0,36.4,35.8,35.1,34.6,34.0,33.2,32.5,31.3,29.3,27.9,25.7,21.8,14.6, 8.3, 8.2, 7.5, 7.4, 5.0, 3.7, 3.7, 3.3, 2.5, 1.5, 1.5,
