Zap Version,Filename,Protocol,Invert Open,Tx IP,Rx IP,Multicast,ToS,Samples,Sample Size,Payload Length,Payload Transmit Delay,Payloads Received,Payloads Dropped,Payloads Repeated,Payloads Outoforder,Date,Notes,Tag,Sub Tag, 0.0%, 1.0%, 2.0%, 3.0%, 4.0%, 5.0%, 6.0%, 7.0%, 8.0%, 9.0%,10.0%,11.0%,12.0%,13.0%,14.0%,15.0%,16.0%,17.0%,18.0%,19.0%,20.0%,21.0%,22.0%,23.0%,24.0%,25.0%,26.0%,27.0%,28.0%,29.0%,30.0%,31.0%,32.0%,33.0%,34.0%,35.0%,36.0%,37.0%,38.0%,39.0%,40.0%,41.0%,42.0%,43.0%,44.0%,45.0%,46.0%,47.0%,48.0%,49.0%,50.0%,51.0%,52.0%,53.0%,54.0%,55.0%,56.0%,57.0%,58.0%,59.0%,60.0%,61.0%,62.0%,63.0%,64.0%,65.0%,66.0%,67.0%,68.0%,69.0%,70.0%,71.0%,72.0%,73.0%,74.0%,75.0%,76.0%,77.0%,78.0%,79.0%,80.0%,81.0%,82.0%,83.0%,84.0%,85.0%,86.0%,87.0%,88.0%,89.0%,90.0%,91.0%,92.0%,93.0%,94.0%,95.0%,96.0%,97.0%,98.0%,99.0%,99.1%,99.2%,99.3%,99.4%,99.5%,99.6%,99.7%,99.8%,99.9%,100.0%,
1.83,results-c1.csv,udp,Off,172.27.3.42:172.27.3.42,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,365498,18,0,0,Wed Sep 26 13:11:44 2012,,aerohive-c1,,114.6,96.5,93.3,90.2,88.5,86.7,85.0,83.9,83.0,81.9,81.0,80.0,79.4,78.3,77.4,76.7,76.2,75.3,74.3,73.8,73.4,72.7,72.0,71.4,71.0,70.5,69.7,69.1,68.7,68.1,67.5,66.8,66.4,66.0,65.4,64.9,64.3,63.8,63.3,63.2,62.9,62.4,62.0,61.7,61.4,61.1,60.7,60.3,59.9,59.6,59.1,58.7,58.2,57.8,57.4,57.0,56.6,56.3,55.9,55.5,55.2,55.0,54.8,54.3,54.0,53.7,53.4,53.1,52.8,52.6,52.4,52.0,51.6,51.2,50.9,50.6,50.4,50.1,49.8,49.3,49.0,48.6,48.2,48.0,47.6,47.1,46.8,46.3,45.9,45.5,44.9,44.1,43.5,42.9,42.2,40.6,38.8,35.1,15.9,10.5,10.2, 9.9, 9.7, 9.6, 8.3, 7.8, 7.6, 5.5, 4.0, 0.1,
1.83,results-c2.csv,udp,Off,172.27.3.78:172.27.3.78,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,380438,1,0,0,Wed Sep 26 13:11:44 2012,,aerohive-c2,,113.4,105.9,103.9,101.6,101.0,100.5,99.8,99.4,98.9,98.1,97.6,97.0,96.2,95.5,94.9,94.4,93.8,93.3,92.9,92.6,92.1,91.5,91.2,90.7,90.4,90.1,89.6,89.3,88.8,88.5,87.9,87.4,86.9,86.6,86.1,85.4,84.5,84.1,83.8,83.3,83.0,82.8,82.3,82.0,81.6,81.3,80.9,80.5,80.2,80.0,79.7,79.2,78.9,78.6,78.3,77.9,77.4,76.9,76.5,76.2,75.8,75.3,75.1,74.7,74.2,73.7,73.3,72.9,72.7,72.1,71.8,71.4,71.0,70.5,70.1,69.4,68.9,68.4,67.8,67.3,66.9,66.5,66.1,65.6,64.9,64.0,63.3,62.6,61.7,61.1,60.0,59.4,57.9,57.2,55.0,53.1,51.5,49.9,46.7,21.8,15.8,13.9,12.8,12.4,11.8,11.5,11.4,10.2, 7.1, 6.6,
1.83,results-c3.csv,udp,Off,172.27.2.182:172.27.2.182,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,334396,0,0,0,Wed Sep 26 13:11:42 2012,,aerohive-c3,,75.8,69.3,68.2,66.9,65.9,65.4,64.8,64.0,63.6,62.9,62.5,62.0,61.7,61.5,61.2,61.1,60.9,60.5,60.2,59.9,59.6,59.3,59.0,58.6,58.4,58.1,57.9,57.5,57.2,56.6,56.4,56.2,55.9,55.7,55.3,55.1,54.8,54.6,54.5,54.2,53.9,53.8,53.6,53.4,53.0,52.8,52.7,52.4,52.1,51.8,51.5,51.2,51.0,50.7,50.4,50.0,49.7,49.3,49.1,48.9,48.5,48.2,47.9,47.6,47.3,46.8,46.4,46.0,45.6,45.2,44.9,44.4,44.0,43.3,42.9,42.4,42.1,41.5,41.0,40.4,39.9,39.2,38.6,38.1,37.5,36.8,36.3,35.6,34.7,34.1,33.5,32.7,31.4,30.3,28.9,26.7,24.6,21.5,18.2,11.4,11.0,10.1, 9.0, 8.9, 8.7, 7.6, 5.9, 5.6, 1.9, 1.8,
