Zap Version,Filename,Protocol,Invert Open,Tx IP,Rx IP,Multicast,ToS,Samples,Sample Size,Payload Length,Payload Transmit Delay,Payloads Received,Payloads Dropped,Payloads Repeated,Payloads Outoforder,Date,Notes,Tag,Sub Tag, 0.0%, 1.0%, 2.0%, 3.0%, 4.0%, 5.0%, 6.0%, 7.0%, 8.0%, 9.0%,10.0%,11.0%,12.0%,13.0%,14.0%,15.0%,16.0%,17.0%,18.0%,19.0%,20.0%,21.0%,22.0%,23.0%,24.0%,25.0%,26.0%,27.0%,28.0%,29.0%,30.0%,31.0%,32.0%,33.0%,34.0%,35.0%,36.0%,37.0%,38.0%,39.0%,40.0%,41.0%,42.0%,43.0%,44.0%,45.0%,46.0%,47.0%,48.0%,49.0%,50.0%,51.0%,52.0%,53.0%,54.0%,55.0%,56.0%,57.0%,58.0%,59.0%,60.0%,61.0%,62.0%,63.0%,64.0%,65.0%,66.0%,67.0%,68.0%,69.0%,70.0%,71.0%,72.0%,73.0%,74.0%,75.0%,76.0%,77.0%,78.0%,79.0%,80.0%,81.0%,82.0%,83.0%,84.0%,85.0%,86.0%,87.0%,88.0%,89.0%,90.0%,91.0%,92.0%,93.0%,94.0%,95.0%,96.0%,97.0%,98.0%,99.0%,99.1%,99.2%,99.3%,99.4%,99.5%,99.6%,99.7%,99.8%,99.9%,100.0%,
1.83,results.csv,udp,Off,172.27.3.42:172.27.3.42,172.27.3.25:172.27.3.25,Off,00h,1000000,50,1472,1,271322,0,0,0,Tue Sep 25 17:56:19 2012,,aerohive,,55.9,45.4,42.1,40.5,39.7,39.1,38.8,38.0,37.5,37.2,36.8,36.4,35.7,35.4,34.8,34.7,34.6,34.5,34.4,34.4,34.3,34.3,34.3,34.2,34.2,34.2,34.1,34.1,34.1,34.1,34.0,34.0,34.0,34.0,33.9,33.9,33.9,33.8,33.8,33.8,33.8,33.8,33.7,33.7,33.7,33.6,33.6,33.6,33.6,33.6,33.5,33.4,33.4,33.4,33.3,33.3,33.3,33.2,33.2,33.1,33.1,33.0,32.9,32.8,32.7,32.5,32.5,32.3,32.1,31.9,31.7,31.5,31.3,31.1,30.8,30.5,30.3,30.0,29.6,29.3,29.0,28.7,28.3,27.9,27.5,27.0,26.5,25.5,24.1,23.4,23.3,23.2,23.1,23.0,23.0,22.9,22.8,22.6,22.0,18.8,18.2,18.1,18.0,17.1,16.6,16.3,16.0,15.7,10.5,10.0,
1.83,results.csv,udp,Off,172.27.3.42:172.27.3.42,172.27.3.235:172.27.3.235,Off,00h,1000000,50,1472,1,1072968,0,0,0,Tue Sep 25 14:05:59 2012,,airport,,200.8,189.8,186.6,184.3,182.7,181.1,180.3,179.4,178.9,178.3,177.9,177.3,176.9,176.5,176.1,175.7,175.4,175.0,174.6,174.2,173.9,173.6,173.2,172.7,172.3,172.0,171.8,171.4,171.2,170.7,170.3,169.9,169.6,169.2,168.9,168.6,168.4,168.0,167.8,167.5,167.2,167.0,166.6,166.4,166.2,166.0,165.7,165.4,165.2,165.0,164.8,164.5,164.3,163.9,163.7,163.4,163.2,162.8,162.5,162.3,162.0,161.7,161.5,161.1,160.9,160.6,160.3,160.1,159.9,159.5,159.0,158.8,158.5,158.3,158.0,157.7,157.3,157.0,156.6,156.2,155.9,155.2,154.9,154.2,153.8,153.2,152.8,152.0,151.1,150.2,149.3,148.3,147.9,147.0,145.7,143.9,140.3,135.3,116.8,36.1,35.2,35.0,33.8,33.7,32.8,32.3,31.1,30.8,16.1,12.7,
1.83,results.csv,udp,Off,172.27.3.42:172.27.3.42,172.27.3.235:172.27.3.235,Off,00h,1000000,50,1472,1,812349,0,0,0,Tue Sep 25 14:23:54 2012,,meraki,,258.6,212.3,203.6,200.1,197.6,196.1,194.6,193.0,191.7,190.7,189.5,188.6,187.8,187.2,186.7,186.2,185.6,185.2,184.7,183.7,182.8,182.5,182.0,181.7,181.2,180.6,180.2,179.6,179.2,178.8,178.3,178.0,177.7,177.4,177.0,176.4,176.0,175.7,175.4,174.5,174.3,173.9,173.5,173.2,172.7,171.7,170.9,170.3,169.5,168.8,168.5,167.8,167.3,166.9,166.3,165.5,164.4,163.6,162.4,161.6,160.8,159.5,158.6,157.6,156.8,156.2,154.4,152.8,151.6,150.0,148.4,147.0,145.3,143.8,141.8,141.0,140.0,138.9,137.3,136.6,135.6,134.7,134.1,133.1,132.0,130.2,128.8,126.5,124.4,120.9,116.3,108.0,101.4,91.8,87.9,87.0,86.2,85.6,84.8,81.7,78.7,72.2,68.5,65.3,14.0,13.3,10.6,10.3, 6.6, 2.1,
